date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:57	10551/10551	---M--	200	added ('OK')	image/png	etag:%221e80147-2937-5cab33d562941%22	http://polygons.space/neptune/source/assets/images/icons/bitbucket.png	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/icons/bitbucket.png	(from http://polygons.space/neptune/source/templates/admin1/settings.html)
19:05:02	11949/11949	---M--	200	added ('OK')	image/png	etag:%221e80146-2ead-5cab33d550060%22	http://polygons.space/neptune/source/assets/images/icons/sourcetree.png	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/icons/sourcetree.png	(from http://polygons.space/neptune/source/templates/admin1/settings.html)
19:05:03	90/90	---M-Z	200	added ('OK')	application/javascript	etag:%221e801de-5a-5cab3410fe3aa-gzip%22	http://polygons.space/neptune/source/assets/js/pages/settings.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/js/pages/settings.js	(from http://polygons.space/neptune/source/templates/admin1/settings.html)
19:05:05	79212/79212	---M-Z	200	added ('OK')	application/javascript	etag:%221e8034f-1356c-5cab346803078-gzip%22	http://polygons.space/neptune/source/assets/plugins/select2/js/select2.full.min.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/select2/js/select2.full.min.js	(from http://polygons.space/neptune/source/templates/admin1/settings.html)
19:05:11	9569/9569	---M-Z	200	added ('OK')	text/css	etag:%221e8018a-2561-5cab33f7f675c-gzip%22	http://polygons.space/neptune/source/assets/plugins/datatables/datatables.min.css	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/datatables/datatables.min.css	(from http://polygons.space/neptune/source/templates/admin1/tables-datatable.html)
19:05:14	1431/1431	---MC-	200	added ('OK')	text/css	date:Sat,%2026%20Nov%202022%2000:05:03%20GMT	https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;500;600;700;800;900&display=swap	/Users/dp/websites/Neptune/fonts.googleapis.com/css2ceae.css	(from http://polygons.space/neptune/source/templates/admin1/tables-basic.html)
19:05:18	1035/1035	---M-Z	200	added ('OK')	application/javascript	etag:%221e801cf-40b-5cab340f0e219-gzip%22	http://polygons.space/neptune/source/assets/js/pages/datatables.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/js/pages/datatables.js	(from http://polygons.space/neptune/source/templates/admin1/tables-datatable.html)
19:05:19	102125/102125	---M-Z	200	added ('OK')	application/javascript	etag:%221e80189-18eed-5cab33f7a0089-gzip%22	http://polygons.space/neptune/source/assets/plugins/datatables/datatables.min.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/datatables/datatables.min.js	(from http://polygons.space/neptune/source/templates/admin1/tables-datatable.html)
19:05:24	9262/9262	---M-Z	200	added ('OK')	application/javascript	etag:%221e801ae-242e-5cab340394d9b-gzip%22	http://polygons.space/neptune/source/assets/plugins/blockUI/jquery.blockUI.min.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/blockUI/jquery.blockUI.min.js	(from http://polygons.space/neptune/source/templates/admin1/components-block-ui.html)
19:05:25	571/571	---M-Z	200	added ('OK')	application/javascript	etag:%221e801e0-23b-5cab34115989e-gzip%22	http://polygons.space/neptune/source/assets/js/pages/blockui.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/js/pages/blockui.js	(from http://polygons.space/neptune/source/templates/admin1/components-block-ui.html)
19:05:27	536975/536975	---M--	200	added ('OK')	image/jpeg	etag:%221e80152-8318f-5cab33da4d9f4%22	http://polygons.space/neptune/source/assets/images/avatars/avatar6.jpeg	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/avatars/avatar6.jpg	(from http://polygons.space/neptune/source/templates/admin1/mailbox.html)
19:05:27	34290/34290	---M--	200	added ('OK')	image/png	etag:%221e80156-85f2-5cab33db0b13b%22	http://polygons.space/neptune/source/assets/images/avatars/avatar1.png	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/avatars/avatar1.png	(from http://polygons.space/neptune/source/templates/admin1/ui-alerts.html)
19:06:03	717328/717328	---M--	200	added ('OK')	image/jpeg	etag:%221e8014f-af210-5cab33d936913%22	http://polygons.space/neptune/source/assets/images/avatars/avatar9.jpeg	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/avatars/avatar9.jpg	(from http://polygons.space/neptune/source/templates/admin1/mailbox.html)
19:07:42	587542/587542	---M--	200	added ('OK')	image/jpeg	etag:%221e8012d-8f716-5cab33c8eb63a%22	http://polygons.space/neptune/source/assets/images/cards/card7.jpeg	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/cards/card7.jpg	(from http://polygons.space/neptune/source/templates/admin1/components-cards.html)
